fecha,cod_ine,CCAA,total
2020-03-09,13,Madrid,0
2020-03-10,13,Madrid,109
2020-03-11,13,Madrid,157
2020-03-12,13,Madrid,157
2020-03-13,13,Madrid,157
2020-03-14,13,Madrid,474
2020-03-15,13,Madrid,474
2020-03-16,13,Madrid,474
2020-03-17,13,Madrid,951
2020-03-18,13,Madrid,951
2020-03-19,13,Madrid,941
2020-03-20,13,Madrid,1186
2020-03-21,13,Madrid,1542
2020-03-22,13,Madrid,1899
2020-03-23,13,Madrid,2063
2020-03-24,13,Madrid,2291
2020-03-25,13,Madrid,3031
2020-03-26,13,Madrid,3882
2020-03-27,13,Madrid,5044
2020-03-28,13,Madrid,6326
2020-03-29,13,Madrid,7491
2020-03-30,13,Madrid,8301
2020-03-31,13,Madrid,9330
2020-04-01,13,Madrid,10827
2020-04-02,13,Madrid,12400
2020-04-03,13,Madrid,13850
2020-04-04,13,Madrid,15362
2020-04-05,13,Madrid,16543
2020-04-06,13,Madrid,17322
2020-04-07,13,Madrid,18410
2020-04-08,13,Madrid,19836
2020-04-09,13,Madrid,21121
2020-04-10,13,Madrid,22414
2020-04-11,13,Madrid,23663
2020-04-12,13,Madrid,24683
2020-04-13,13,Madrid,25385
2020-04-14,13,Madrid,26247
2020-04-15,13,Madrid,27433
2020-04-16,13,Madrid,28491
2020-04-17,13,Madrid,29436
2020-04-18,13,Madrid,30475
2020-04-19,13,Madrid,31313
2020-04-20,13,Madrid,31762
2020-04-21,13,Madrid,32277
2020-04-22,13,Madrid,33032
2020-04-23,13,Madrid,33645
2020-04-24,13,Madrid,34212
2020-04-25,13,Madrid,34902
2020-04-26,13,Madrid,35367
2020-04-27,13,Madrid,35565
2020-04-28,13,Madrid,35841
2020-04-29,13,Madrid,36314
2020-04-30,13,Madrid,36707
2020-05-01,13,Madrid,37154
2020-05-02,13,Madrid,37530
2020-05-03,13,Madrid,37704
2020-05-04,13,Madrid,37808
2020-05-05,13,Madrid,38002
2020-05-06,13,Madrid,38331
2020-05-07,13,Madrid,38670
2020-05-08,13,Madrid,38975
2020-05-09,13,Madrid,39227
2020-05-10,13,Madrid,39529
2020-05-11,13,Madrid,39604
2020-05-12,13,Madrid,39751
