fecha,cod_ine,CCAA,total
2020-02-21,13,Madrid,0
2020-02-22,13,Madrid,0
2020-02-23,13,Madrid,0
2020-02-24,13,Madrid,0
2020-02-25,13,Madrid,0
2020-02-26,13,Madrid,2
2020-02-27,13,Madrid,6
2020-02-28,13,Madrid,10
2020-02-29,13,Madrid,20
2020-03-01,13,Madrid,27
2020-03-02,13,Madrid,52
2020-03-03,13,Madrid,94
2020-03-04,13,Madrid,140
2020-03-05,13,Madrid,194
2020-03-06,13,Madrid,306
2020-03-07,13,Madrid,509
2020-03-08,13,Madrid,730
2020-03-09,13,Madrid,993
2020-03-10,13,Madrid,1496
2020-03-11,13,Madrid,2200
2020-03-12,13,Madrid,2925
2020-03-13,13,Madrid,3709
2020-03-14,13,Madrid,4649
2020-03-15,13,Madrid,5548
2020-03-16,13,Madrid,6360
2020-03-17,13,Madrid,7619
2020-03-18,13,Madrid,9566
2020-03-19,13,Madrid,11315
2020-03-20,13,Madrid,13359
2020-03-21,13,Madrid,15680
2020-03-22,13,Madrid,17354
2020-03-23,13,Madrid,18856
2020-03-24,13,Madrid,21524
2020-03-25,13,Madrid,24413
2020-03-26,13,Madrid,27354
2020-03-27,13,Madrid,30720
2020-03-28,13,Madrid,33078
2020-03-29,13,Madrid,34098
2020-03-30,13,Madrid,34970
2020-03-31,13,Madrid,37514
2020-04-01,13,Madrid,39313
2020-04-02,13,Madrid,41088
2020-04-03,13,Madrid,42911
2020-04-04,13,Madrid,44633
2020-04-05,13,Madrid,45518
2020-04-06,13,Madrid,46038
2020-04-07,13,Madrid,47594
2020-04-08,13,Madrid,48977
2020-04-09,13,Madrid,50388
2020-04-10,13,Madrid,51331
2020-04-11,13,Madrid,52182
2020-04-12,13,Madrid,52716
2020-04-13,13,Madrid,53053
2020-04-14,13,Madrid,54027
2020-04-15,13,Madrid,55104
2020-04-16,13,Madrid,56000
2020-04-17,13,Madrid,56832
2020-04-18,13,Madrid,57639
2020-04-19,13,Madrid,58124
2020-04-20,13,Madrid,58330
2020-04-21,13,Madrid,58937
2020-04-22,13,Madrid,59527
2020-04-23,13,Madrid,60204
2020-04-24,13,Madrid,60627
2020-04-25,13,Madrid,61134
2020-04-26,13,Madrid,61364
2020-04-27,13,Madrid,61494
2020-04-28,13,Madrid,62076
2020-04-29,13,Madrid,62547
2020-04-30,13,Madrid,62889
2020-05-01,13,Madrid,63163
2020-05-02,13,Madrid,63279
2020-05-03,13,Madrid,63396
2020-05-04,13,Madrid,63506
2020-05-05,13,Madrid,63818
2020-05-06,13,Madrid,64116
2020-05-07,13,Madrid,64382
2020-05-08,13,Madrid,64605
2020-05-09,13,Madrid,64814
2020-05-10,13,Madrid,64889
2020-05-11,13,Madrid,64924
2020-05-12,13,Madrid,64972
