fecha,cod_ine,CCAA,total
2020-03-03,13,Madrid,0
2020-03-04,13,Madrid,0
2020-03-05,13,Madrid,1
2020-03-06,13,Madrid,2
2020-03-07,13,Madrid,4
2020-03-08,13,Madrid,8
2020-03-09,13,Madrid,16
2020-03-10,13,Madrid,21
2020-03-11,13,Madrid,31
2020-03-12,13,Madrid,56
2020-03-13,13,Madrid,81
2020-03-14,13,Madrid,86
2020-03-15,13,Madrid,213
2020-03-16,13,Madrid,213
2020-03-17,13,Madrid,355
2020-03-18,13,Madrid,390
2020-03-19,13,Madrid,498
2020-03-20,13,Madrid,628
2020-03-21,13,Madrid,804
2020-03-22,13,Madrid,1021
2020-03-23,13,Madrid,1263
2020-03-24,13,Madrid,1535
2020-03-25,13,Madrid,1825
2020-03-26,13,Madrid,2090
2020-03-27,13,Madrid,2412
2020-03-28,13,Madrid,2757
2020-03-29,13,Madrid,3082
2020-03-30,13,Madrid,3392
2020-03-31,13,Madrid,3603
2020-04-01,13,Madrid,3865
2020-04-02,13,Madrid,4175
2020-04-03,13,Madrid,4483
2020-04-04,13,Madrid,4723
2020-04-05,13,Madrid,4941
2020-04-06,13,Madrid,5136
2020-04-07,13,Madrid,5371
2020-04-08,13,Madrid,5586
2020-04-09,13,Madrid,5800
2020-04-10,13,Madrid,5972
2020-04-11,13,Madrid,6084
2020-04-12,13,Madrid,6278
2020-04-13,13,Madrid,6423
2020-04-14,13,Madrid,6568
2020-04-15,13,Madrid,6724
2020-04-16,13,Madrid,6877
2020-04-17,13,Madrid,7007
2020-04-18,13,Madrid,7132
2020-04-19,13,Madrid,7239
2020-04-20,13,Madrid,7351
2020-04-21,13,Madrid,7460
2020-04-22,13,Madrid,7577
2020-04-23,13,Madrid,7684
2020-04-24,13,Madrid,7765
2020-04-25,13,Madrid,7848
2020-04-26,13,Madrid,7922
2020-04-27,13,Madrid,7986
2020-04-28,13,Madrid,8048
2020-04-29,13,Madrid,8105
2020-04-30,13,Madrid,8176
2020-05-01,13,Madrid,8222
2020-05-02,13,Madrid,8292
2020-05-03,13,Madrid,8332
2020-05-04,13,Madrid,8376
2020-05-05,13,Madrid,8420
2020-05-06,13,Madrid,8466
2020-05-07,13,Madrid,8504
2020-05-08,13,Madrid,8552
2020-05-09,13,Madrid,8598
2020-05-10,13,Madrid,8644
2020-05-11,13,Madrid,8683
2020-05-12,13,Madrid,8720
