fecha,cod_ine,CCAA,total
2020-02-21,13,Madrid,0
2020-02-22,13,Madrid,0
2020-02-23,13,Madrid,0
2020-02-24,13,Madrid,0
2020-02-25,13,Madrid,0
2020-02-26,13,Madrid,0
2020-02-27,13,Madrid,0
2020-02-28,13,Madrid,0
2020-02-29,13,Madrid,0
2020-03-01,13,Madrid,0
2020-03-02,13,Madrid,0
2020-03-03,13,Madrid,0
2020-03-04,13,Madrid,0
2020-03-05,13,Madrid,0
2020-03-06,13,Madrid,0
2020-03-07,13,Madrid,0
2020-03-08,13,Madrid,0
2020-03-09,13,Madrid,53
2020-03-10,13,Madrid,77
2020-03-11,13,Madrid,102
2020-03-12,13,Madrid,135
2020-03-13,13,Madrid,180
2020-03-14,13,Madrid,180
2020-03-15,13,Madrid,253
2020-03-16,13,Madrid,253
2020-03-17,13,Madrid,340
2020-03-18,13,Madrid,491
2020-03-19,13,Madrid,590
2020-03-20,13,Madrid,678
2020-03-21,13,Madrid,767
2020-03-22,13,Madrid,834
2020-03-23,13,Madrid,942
2020-03-24,13,Madrid,1050
2020-03-25,13,Madrid,1150
2020-03-26,13,Madrid,1221
2020-03-27,13,Madrid,1312
2020-03-28,13,Madrid,1404
2020-03-29,13,Madrid,1429
2020-03-30,13,Madrid,1460
2020-03-31,13,Madrid,1514
2020-04-01,13,Madrid,1514
2020-04-02,13,Madrid,1528
2020-04-03,13,Madrid,1506
2020-04-04,13,Madrid,1498
2020-04-05,13,Madrid,1499
2020-04-06,13,Madrid,1510
2020-04-07,13,Madrid,1494
2020-04-08,13,Madrid,1450
2020-04-09,13,Madrid,1433
2020-04-10,13,Madrid,1399
2020-04-11,13,Madrid,1376
2020-04-12,13,Madrid,1332
2020-04-13,13,Madrid,1327
2020-04-14,13,Madrid,1299
2020-04-15,13,Madrid,1244
2020-04-16,13,Madrid,1206
2020-04-17,13,Madrid,1154
2020-04-18,13,Madrid,1094
2020-04-19,13,Madrid,1123
2020-04-20,13,Madrid,1111
2020-04-21,13,Madrid,1076
2020-04-22,13,Madrid,1024
2020-04-23,13,Madrid,981
2020-04-24,13,Madrid,949
2020-04-25,13,Madrid,892
2020-04-26,13,Madrid,873
2020-04-27,13,Madrid,3309
2020-04-28,13,Madrid,3338
2020-04-29,13,Madrid,3355
2020-04-30,13,Madrid,3377
2020-05-01,13,Madrid,3392
2020-05-02,13,Madrid,3404
2020-05-03,13,Madrid,3421
2020-05-04,13,Madrid,3431
2020-05-05,13,Madrid,3442
2020-05-06,13,Madrid,3465
2020-05-07,13,Madrid,3485
2020-05-08,13,Madrid,3493
2020-05-09,13,Madrid,3508
2020-05-10,13,Madrid,3520
2020-05-11,13,Madrid,3529
2020-05-12,13,Madrid,3543
